# Restfreq(MHz)  line   
#  draw upper     576.708/(1+redshift)  H_2_CO  
#  draw upper     579.151/(1+redshift)  CH_3_OH 
#  draw upper     579.460/(1+redshift)  CH_3_OH 
#  draw upper     583.145/(1+redshift)  H_2_CO  
#  draw upper     583.309/(1+redshift)  H_2_CO  
#  draw upper     584.450/(1+redshift)  CH_3_OH 
#  draw upper     590.278/(1+redshift)  CH_3_OH 
#  draw upper     590.440/(1+redshift)  CH_3_OH 
#  draw upper     590.791/(1+redshift)  CH_3_OH 
#  draw upper     600.331/(1+redshift)  H_2_CO  
#  draw upper     616.980/(1+redshift)  CH_3_OH 
#  draw upper     620.304/(1+redshift)  HCN     
#  draw upper     624.208/(1+redshift)  HCO^+^  
#  draw upper     626.626/(1+redshift)  CH_3_OH 
#  draw upper     627.170/(1+redshift)  CH_3_OH 
#  draw upper     627.558/(1+redshift)  CH_3_OH 
#  draw upper     629.921/(1+redshift)  CH_3_OH 
#  draw upper     631.703/(1+redshift)  H_2_CO  
#  draw upper     638.818/(1+redshift)  CH_3_OH 
#  draw upper     647.082/(1+redshift)  H_2_CO  
#  draw upper     652.096/(1+redshift)  N_2_H^+^
#  draw upper     658.553/(1+redshift)  C^18^O  
#  draw upper     661.067/(1+redshift)  ^13^CO  
#  draw upper     665.442/(1+redshift)  CH_3_OH 
#  draw upper     674.991/(1+redshift)  CH_3_OH 
#  draw upper     675.135/(1+redshift)  CH_3_OH 
#  draw upper     675.613/(1+redshift)  CH_3_OH 
#  draw upper     678.785/(1+redshift)  CH_3_OH 
#  draw upper     686.732/(1+redshift)  CH_3_OH 
#  draw upper     687.225/(1+redshift)  CH_3_OH 
#  draw upper     691.473/(1+redshift)  CO      
#  draw upper     708.877/(1+redshift)  HCN     
#  draw upper     713.341/(1+redshift)  HCO^+^  
#  draw upper     713.982/(1+redshift)  CH_3_OH 
#  draw upper     719.665/(1+redshift)  CH_3_OH 
#  draw upper     720.441/(1+redshift)  CH_3_OH 
#  draw upper     728.862/(1+redshift)  CH_3_OH 
#  draw upper     736.034/(1+redshift)  H_2_S   
#  draw upper     745.210/(1+redshift)  N_2_H^+^
#  draw upper     749.072/(1+redshift)  H_2_CO  
#  draw upper     752.033/(1+redshift)  H_2_O   
#  draw upper     762.636/(1+redshift)  CH_3_OH 
#  draw upper     766.710/(1+redshift)  CH_3_OH 
#  draw upper     768.252/(1+redshift)  C^18^O  
#  draw upper     771.184/(1+redshift)  ^13^CO  
#  draw upper     772.454/(1+redshift)  CH_3_OH 
#  draw upper     797.433/(1+redshift)  HCN     
#  draw upper     806.652/(1+redshift)  CO      
#  draw upper     809.342/(1+redshift)  C       
#  draw upper     811.445/(1+redshift)  CH_3_OH 
#  draw upper     812.550/(1+redshift)  CH_3_OH 
#  draw upper     830.349/(1+redshift)  CH_3_OH 
#  draw upper     835.138/(1+redshift)  CH^+^   
#  draw upper     838.307/(1+redshift)  N_2_H^+^
#  draw upper     851.415/(1+redshift)  CH_3_OH 
#  draw upper     857.959/(1+redshift)  CH_3_OH 
#  draw upper     860.459/(1+redshift)  CH_3_OH 
#  draw upper     881.273/(1+redshift)  ^13^CO  
#  draw upper     885.971/(1+redshift)  HCN     
#  draw upper     891.557/(1+redshift)  HCO^+^  
#  draw upper     894.614/(1+redshift)  CH_3_OH 
#  draw upper     921.800/(1+redshift)  CO      
#  draw upper     931.386/(1+redshift)  N_2_H^+^
#  draw upper     980.636/(1+redshift)  HCO^+^  
#  draw upper     987.927/(1+redshift)  H_2_O   
#  draw upper     991.329/(1+redshift)  ^13^CO  
#  draw upper     993.108/(1+redshift)  H_2_S   
#  draw upper    1036.912/(1+redshift)  CO      
#  draw upper    1057.118/(1+redshift)  CH_3_OH 
#  draw upper    1062.981/(1+redshift)  HCN     
#  draw upper    1069.694/(1+redshift)  HCO^+^  
#  draw upper    1072.837/(1+redshift)  H_2_S   
#  draw upper    1097.365/(1+redshift)  H_2_O   
#  draw upper    1101.350/(1+redshift)  ^13^CO  
#  draw upper    1113.343/(1+redshift)  H_2_O   
#  draw upper    1151.449/(1+redshift)  HCN     
#  draw upper    1151.985/(1+redshift)  CO      
#  draw upper    1153.127/(1+redshift)  H_2_O   
#  draw upper    1153.549/(1+redshift)  CH_3_OH 
#  draw upper    1158.727/(1+redshift)  HCO^+^  
#  draw upper    1162.912/(1+redshift)  H_2_O   
#  draw upper    1168.452/(1+redshift)  p-NH_3_ 
#  draw upper    1201.630/(1+redshift)  CH_3_OH 
#  draw upper    1211.330/(1+redshift)  ^13^CO  
#  draw upper    1214.853/(1+redshift)  o-NH_3_ 
#  draw upper    1228.789/(1+redshift)  H_2_O   
#  draw upper    1232.476/(1+redshift)  HF      
#  draw upper    1239.890/(1+redshift)  HCN     
#  draw upper    1267.014/(1+redshift)  CO      
#  draw upper    1496.923/(1+redshift)  CO      
#  draw upper    1541.843/(1+redshift)  CH_3_OH 
#  draw upper    1611.794/(1+redshift)  CO      
#  draw upper    1661.008/(1+redshift)  H_2_O   
#  draw upper    1669.905/(1+redshift)  H_2_O   
#  draw upper    1716.770/(1+redshift)  H_2_O   
#  draw upper    1726.603/(1+redshift)  CO      
#  draw upper    1763.601/(1+redshift)  p-NH_3_ 
#  draw upper    1763.823/(1+redshift)  p-NH_3_ 
#  draw upper    1841.346/(1+redshift)  CO      
#  draw upper    1900.537/(1+redshift)  C^+^    
#  
#  
#  
#  
#  
#  
#  
#  draw upper      500034.402/(1+redshift)   HC3N55-54 
#  draw upper      500431.536/(1+redshift)   SO218(9,9)-19(8,12)   
#  draw upper      552003.51/(1+redshift)    H2CO523-606 
#  
#  
#  
#  ! Other lines  ------ https://www.aanda.org/articles/aa/abs/2015/07/aa24918-14/aa24918-14.html -
#  
#  draw upper      102548.0/(1+redshift)   CH3CCH  
#  
#  
#  
